Country,Premium,Currency,,Price USD,# of TV Shows,# of Movies
Turkey,54.99,TRY,USD,4.02,2930,1709
India,649,INR,USD,8.60,3718,2125
Philippines,549,PHP,USD,10.93,4154,2208
Slovakia,11.99,EUR,USD,13.54,5055,1980
Czech Republic,319,CZK,USD,14.15,5234,2091
Argentina,939,ARS,USD,9.26,3154,1606
Colombia,38900,COP,USD,9.93,3156,1835
Bulgaria,11.99,EUR,USD,13.54,4819,1978
Hungary,4490,HUF,USD,13.78,4802,2082
Brazil,55.90,BRL,USD,9.96,3162,1810
Lithuania,11.99,EUR,USD,13.54,4490,1972
Estonia,11.99,EUR,USD,13.54,4486,1970
Latvia,11.99,EUR,USD,13.54,4479,1971
Ukraine,9.99,EUR,USD,11.29,3261,2075
Malaysia,55,MYR,USD,13.02,3565,2387
South Africa,199,ZAR,USD,12.58,3686,2050
Peru,44.9,PEN,USD,11.01,3155,1831
Russia,999,RUB,USD,13.56,3624,2087
Hong Kong,93,HKD,USD,11.93,2883,1863
Thailand,419,THB,USD,12.52,2977,1971
Chile,10700,CLP,USD,12.74,3156,1838
Romania,11.99,EUR,USD,13.54,3832,1471
Singapore,21.98,SGD,USD,16.11,4109,2194
Canada,20.99,CAD,USD,16.61,4311,1928
Australia,22.99,AUD,USD,16.39,4050,2064
Taiwan,390,TWD,USD,14.07,3134,1971
South Korea,17000,KRW,USD,14.45,3334,1861
United Kingdom,13.99,GBP,USD,18.48,4551,2092
New Zealand,24.99,NZD,USD,16.94,4003,2081
Ecuador,13.99,USD,USD,13.99,3155,1837
Bolivia,13.99,USD,USD,13.99,3155,1836
Honduras,13.99,USD,USD,13.99,3154,1835
Mexico,299,MXN,USD,14.24,3158,1835
Poland,60,PLN,USD,14.76,3512,1597
Venezuela,13.99,USD,USD,13.99,3154,1643
Guatemala,13.99,USD,USD,13.99,3154,1613
Paraguay,14.69,USD,USD,14.69,3155,1642
Monaco,15.99,EUR,USD,18.06,3806,1998
Ireland,17.99,EUR,USD,20.32,4515,1971
Iceland,17.99,EUR,USD,20.32,4426,1961
Japan,1980,JPY,USD,17.45,3619,1856
Uruguay,15.99,USD,USD,15.99,3154,1835
Costa Rica,15.99,USD,USD,15.99,3152,1836
Gibraltar,17.99,EUR,USD,20.32,4079,2088
Greece,13.99,EUR,USD,15.80,3344,1428
Indonesia,186000,IDR,USD,12.96,2449,1438
Netherlands,15.99,EUR,USD,18.06,3779,1597
United States,19.99,USD,USD,19.99,3826,1992
Moldova,11.99,EUR,USD,13.54,2473,1464
Portugal,15.99,EUR,USD,18.06,3419,1628
Germany,17.99,EUR,USD,20.32,3814,1854
Austria,17.99,EUR,USD,20.32,3779,1861
France,17.99,EUR,USD,20.32,3604,1841
Spain,17.99,EUR,USD,20.32,3536,1693
Norway,159,NOK,USD,17.75,2955,1573
Italy,17.99,EUR,USD,20.32,3545,1638
Israel,69.9,ILS,USD,22.43,3650,2063
Belgium,17.99,EUR,USD,20.32,3374,1616
Denmark,129,DKK,USD,19.60,2978,1580
Finland,15.99,EUR,USD,18.06,2638,1407
Sweden,179,SEK,USD,19.70,2973,1388
Switzerland,24.9,CHF,USD,26.96,3654,1852
Croatia,11.99,EUR,USD,13.54,1675,599
San Marino,17.99,EUR,USD,20.32,1937,373
Liechtenstein,24.9,CHF,USD,26.96,1712,1336
