Country,Standard,Currency,,Price USD,# of TV Shows,# of Movies
Turkey,40.99,TRY,USD,3.00,2930,1709
India,499,INR,USD,6.61,3718,2125
Argentina,639,ARS,USD,6.30,3154,1606
Colombia,26900,COP,USD,6.86,3156,1835
Brazil,39.9,BRL,USD,7.11,3162,1810
Philippines,459,PHP,USD,9.14,4154,2208
Hungary,3490,HUF,USD,10.71,4802,2082
Czech Republic,259,CZK,USD,11.49,5234,2091
Ukraine,7.49,EUR,USD,8.46,3261,2075
Slovakia,9.99,EUR,USD,11.29,5055,1980
Bulgaria,9.99,EUR,USD,11.29,4819,1978
Peru,34.9,PEN,USD,8.56,3155,1831
Lithuania,9.99,EUR,USD,11.29,4490,1972
Estonia,9.99,EUR,USD,11.29,4486,1970
Latvia,9.99,EUR,USD,11.29,4479,1971
South Africa,159,ZAR,USD,10.05,3686,2050
Malaysia,45,MYR,USD,10.65,3565,2387
Russia,799,RUB,USD,10.84,3624,2087
Australia,16.99,AUD,USD,12.12,4050,2064
Chile,8320,CLP,USD,9.91,3156,1838
United Kingdom,9.99,GBP,USD,13.20,4551,2092
Singapore,17.48,SGD,USD,12.81,4109,2194
New Zealand,18.49,NZD,USD,12.53,4003,2081
Poland,43,PLN,USD,10.58,3512,1597
Mexico,219,MXN,USD,10.43,3158,1835
Canada,16.49,CAD,USD,13.05,4311,1928
Hong Kong,78,HKD,USD,10.00,2883,1863
Thailand,349,THB,USD,10.43,2977,1971
Romania,9.99,EUR,USD,11.29,3832,1471
Ecuador,10.99,USD,USD,10.99,3155,1837
Bolivia,10.99,USD,USD,10.99,3155,1836
Honduras,10.99,USD,USD,10.99,3154,1835
South Korea,13500,KRW,USD,11.47,3334,1861
Ireland,12.99,EUR,USD,14.67,4515,1971
Venezuela,10.99,USD,USD,10.99,3154,1643
Iceland,12.99,EUR,USD,14.67,4426,1961
Guatemala,10.99,USD,USD,10.99,3154,1613
Taiwan,330,TWD,USD,11.90,3134,1971
Monaco,11.99,EUR,USD,13.54,3806,1998
Gibraltar,12.99,EUR,USD,14.67,4079,2088
Paraguay,11.49,USD,USD,11.49,3155,1642
Japan,1490,JPY,USD,13.13,3619,1856
Netherlands,11.99,EUR,USD,13.54,3779,1597
Germany,12.99,EUR,USD,14.67,3814,1854
Greece,10.99,EUR,USD,12.42,3344,1428
Austria,12.99,EUR,USD,14.67,3779,1861
Uruguay,12.99,USD,USD,12.99,3154,1835
Costa Rica,12.99,USD,USD,12.99,3152,1836
United States,15.49,USD,USD,15.49,3826,1992
Portugal,11.99,EUR,USD,13.54,3419,1628
Norway,109,NOK,USD,12.17,2955,1573
Indonesia,153000,IDR,USD,10.66,2449,1438
France,13.49,EUR,USD,15.24,3604,1841
Spain,12.99,EUR,USD,14.67,3536,1693
Italy,12.99,EUR,USD,14.67,3545,1638
Moldova,9.99,EUR,USD,11.29,2473,1464
Belgium,13.49,EUR,USD,15.24,3374,1616
Israel,54.9,ILS,USD,17.62,3650,2063
Sweden,129,SEK,USD,14.20,2973,1388
Denmark,99,DKK,USD,15.04,2978,1580
Finland,11.99,EUR,USD,13.54,2638,1407
Switzerland,18.9,CHF,USD,20.46,3654,1852
Croatia,9.99,EUR,USD,11.29,1675,599
San Marino,12.99,EUR,USD,14.67,1937,373
Liechtenstein,18.9,CHF,USD,20.46,1712,1336
